,0,1
0,aws,83
1,python,71
2,linux,65
3,kubernetes,33
4,ci cd,32
5,java,30
6,docker,29
7,azure,25
8,cloud,25
9,git,23
10,gcp,21
11,os,19
12,node js,17
13,terraform,16
14,shell,16
15,aws gcp,16
16,mysql,15
17,windows,14
18,spring,14
19,public,13
20,go,13
21,api,12
22,msa,11
23,javascript,11
24,code,11
25,aws azure,11
26,public cloud,10
27,gcp azure,10
28,ansible,9
29,web,9
30,db,9
31,linux windows,9
32,github,8
33,jenkins,8
34,rdbms,8
35,infrastructure,8
36,as,8
37,k8s,8
38,mongodb,8
39,script,8
40,server,8
41,bash,8
42,cloud aws,8
43,as code,8
44,docker kubernetes,8
45,container,7
46,ubuntu,7
47,iac,7
48,architecture,7
49,typescript,7
50,ruby,7
51,backend,7
52,c,7
53,http,7
54,django,7
55,framework,7
56,java spring,7
